Date,OT,Anomaly,start_date,end_date,date,his_avg_1,his_std_1,his_avg_2,his_std_2,his_avg_3,his_std_3,his_avg_4,his_std_4,his_avg_5,his_std_5,his_avg_6,his_std_6,his_avg_7,his_std_7,prior_history_avg,prior_history_std
198301,2.08,-0.23,1983-01-01,1983-01-31,1983-01-01,2.84,,2.84,,2.74,0.1414213562373093,2.74,0.1414213562373093,2.74,0.1414213562373093,2.74,0.1414213562373093,2.74,0.1414213562373093,2.74,0.1414213562373093
198302,2.68,0.55,1983-02-01,1983-02-28,1983-02-01,2.23,,2.2,0.04242640687119289,2.106666666666667,0.16441816606851367,2.106666666666667,0.16441816606851367,2.106666666666667,0.16441816606851367,2.106666666666667,0.16441816606851367,2.106666666666667,0.16441816606851367,2.106666666666667,0.16441816606851367
198303,3.7,1.19,1983-03-01,1983-03-31,1983-03-01,2.51,,2.355,0.21920310216782946,2.6966666666666668,0.6117461347105785,2.6966666666666668,0.6117461347105785,2.6966666666666668,0.6117461347105785,2.6966666666666668,0.6117461347105785,2.6966666666666668,0.6117461347105785,2.6966666666666668,0.6117461347105785
198304,3.2,0.68,1983-04-01,1983-04-30,1983-04-01,2.52,,2.355,0.23334523779156074,2.3633333333333333,0.1656301099840646,2.3633333333333333,0.1656301099840646,2.3633333333333333,0.1656301099840646,2.3633333333333333,0.1656301099840646,2.3633333333333333,0.1656301099840646,2.3633333333333333,0.1656301099840646
198305,3.46,0.55,1983-05-01,1983-05-31,1983-05-01,3.41,,3.48,0.09899494936611643,3.35,0.23579652245103194,3.35,0.23579652245103194,3.35,0.23579652245103194,3.35,0.23579652245103194,3.35,0.23579652245103194,3.35,0.23579652245103194
198306,2.95,0.03,1983-06-01,1983-06-30,1983-06-01,3.31,,3.355,0.06363961030678918,3.0066666666666664,0.6050068870131424,3.0066666666666664,0.6050068870131424,3.0066666666666664,0.6050068870131424,3.0066666666666664,0.6050068870131424,3.0066666666666664,0.6050068870131424,3.0066666666666664,0.6050068870131424
198307,2.08,-0.7,1983-07-01,1983-07-31,1983-07-01,2.95,,3.02,0.09899494936611643,2.67,0.6102458520956943,2.67,0.6102458520956943,2.67,0.6102458520956943,2.67,0.6102458520956943,2.67,0.6102458520956943,2.67,0.6102458520956943
198308,2.37,-0.25,1983-08-01,1983-08-31,1983-08-01,2.55,,2.655,0.14849242404917495,2.6266666666666665,0.11590225767142472,2.6266666666666665,0.11590225767142472,2.6266666666666665,0.11590225767142472,2.6266666666666665,0.11590225767142472,2.6266666666666665,0.11590225767142472,2.6266666666666665,0.11590225767142472
198309,2.26,-0.23,1983-09-01,1983-09-30,1983-09-01,2.45,,2.265,0.26162950903902266,2.44,0.35510561809129404,2.44,0.35510561809129404,2.44,0.35510561809129404,2.44,0.35510561809129404,2.44,0.35510561809129404,2.44,0.35510561809129404
198310,2.6,0.44,1983-10-01,1983-10-31,1983-10-01,2.33,,2.715,0.5444722215136416,2.433333333333333,0.6214767359550423,2.433333333333333,0.6214767359550423,2.433333333333333,0.6214767359550423,2.433333333333333,0.6214767359550423,2.433333333333333,0.6214767359550423,2.433333333333333,0.6214767359550423
198311,3.91,1.68,1983-11-01,1983-11-30,1983-11-01,2.99,,2.5,0.6929646455628169,2.2533333333333334,0.6501025560119984,2.2533333333333334,0.6501025560119984,2.2533333333333334,0.6501025560119984,2.2533333333333334,0.6501025560119984,2.2533333333333334,0.6501025560119984,2.2533333333333334,0.6501025560119984
