Month,Exports,Imports,OT,start_date,date,end_date,his_avg_1,his_std_1,his_avg_2,his_std_2,his_avg_3,his_std_3,his_avg_4,his_std_4,his_avg_5,his_std_5,his_avg_6,his_std_6,his_avg_7,his_std_7,prior_history_avg,prior_history_std,Final_Search_2,Final_Search_4,Final_Search_6
January 2024,160578.7,253800.2,-93221.5,2024-01-01,2024-01-01,2024-01-31,-89096.3,,-94156.8,7156.627732389047,-88263.5,11393.051168146314,-82866.8,14248.926047483958,-81115.84,12946.166410872374,-80594.93333333333,11649.491075693682,-78813.61428571427,11632.019806612634,-89096.3,,Available facts are as follows: 2023-12-25: NA. 2023-12-18: NA.;,Available facts are as follows: 2023-12-25: NA. 2023-12-18: NA. 2023-12-11: NA. 2023-12-04: NA.;,Available facts are as follows: 2023-12-25: NA. 2023-12-18: NA. 2023-12-11: NA. 2023-12-04: NA. 2023-11-27: NA. 2023-11-20: NA.;
February 2024,167171.5,242611.4,-75439.9,2024-02-01,2024-02-01,2024-02-29,-71856.0,,-77759.7,8349.092608182038,-74927.40000000001,7675.900179132082,-67943.3,15309.808629764122,-65393.14,14432.922792629355,-64252.86666666667,13207.904751271742,-62217.31428571429,13205.236501785768,-71856.0,,Available facts are as follows: 2024-01-22: NA. 2024-01-15: NA.;,Available facts are as follows: 2024-01-22: NA. 2024-01-15: NA. 2024-01-08: NA. 2024-01-01: NA.;,Available facts are as follows: 2024-01-22: NA. 2024-01-15: NA. 2024-01-08: NA. 2024-01-01: NA. 2023-12-25: NA. 2023-12-18: NA.;
March 2024,179325.9,259144.7,-79818.8,2024-03-01,2024-03-01,2024-03-31,-78135.8,,-97398.75,27241.925141314805,-93015.8,20704.87852681101,-84918.625,23410.502667161305,-79727.24,23362.172789319065,-76176.65000000001,22633.44936237073,-73592.71428571429,21763.070971903187,-78135.8,,Available facts are as follows: 2024-02-19: NA. 2024-02-12: NA.;,Available facts are as follows: 2024-02-19: NA. 2024-02-12: NA. 2024-02-05: NA. 2024-01-29: NA.;,Available facts are as follows: 2024-02-19: NA. 2024-02-12: NA. 2024-02-05: NA. 2024-01-29: NA. 2024-01-22: NA. 2024-01-15: NA.;
January 2023,165342.2,254438.5,-89096.3,2023-01-01,2023-01-01,2023-01-31,-99217.3,,-87847.1,16079.89104689457,-80790.3,16693.61335241715,-79120.725,14033.332007373258,-78894.66,12163.730198545183,-77099.83333333334,11734.28661890729,-74350.70000000001,12947.92289532701,-99217.3,,Available facts are as follows: 2022-12-26: NA. 2022-12-19: NA.;,Available facts are as follows: 2022-12-26: NA. 2022-12-19: NA. 2022-12-12: NA. 2022-12-05: NA.;,Available facts are as follows: 2022-12-26: NA. 2022-12-19: NA. 2022-12-12: NA. 2022-12-05: NA. 2022-11-28: NA. 2022-11-21: NA.;
February 2023,158850.8,230706.8,-71856.0,2023-02-01,2023-02-01,2023-02-28,-83663.4,,-76463.1,10182.76191315499,-66639.06666666667,18476.45022436218,-63777.425,16135.120515276603,-62732.240000000005,14167.520741223569,-60610.86666666667,13695.848424930333,-59749.55714285715,12708.522025378235,-83663.4,,Available facts are as follows: 2023-01-23: NA. 2023-01-16: NA.;,Available facts are as follows: 2023-01-23: NA. 2023-01-16: NA. 2023-01-09: NA. 2023-01-02: NA.;,Available facts are as follows: 2023-01-23: NA. 2023-01-16: NA. 2023-01-09: NA. 2023-01-02: NA. 2022-12-26: NA. 2022-12-19: NA.;
March 2023,184620.5,262756.3,-78135.8,2023-03-01,2023-03-01,2023-03-31,-116661.7,,-100455.8,22918.603570462143,-87179.56666666667,28131.944642582628,-80125.09999999999,26956.74694864596,-75784.81999999999,25282.203363868422,-72835.53333333333,23739.03107960952,-69984.49999999999,22945.95246748324,-116661.7,,Available facts are as follows: 2023-02-20: NA. 2023-02-13: NA.;,Available facts are as follows: 2023-02-20: NA. 2023-02-13: NA. 2023-02-06: NA. 2023-01-30: NA.;,Available facts are as follows: 2023-02-20: NA. 2023-02-13: NA. 2023-02-06: NA. 2023-01-30: NA. 2023-01-23: NA. 2023-01-16: NA.;
April 2023,162063.7,250751.8,-88688.2,2023-04-01,2023-04-01,2023-04-30,-99642.9,,-91039.75,12166.691409130084,-84327.46666666666,14463.00219744619,-81661.8,12956.674090470387,-78700.24,13029.22640769589,-75907.35,13513.326753209216,-72956.50000000001,14598.890711511838,-99642.9,,Available facts are as follows: 2023-03-20: NA. 2023-03-13: NA.;,Available facts are as follows: 2023-03-20: NA. 2023-03-13: NA. 2023-03-06: NA. 2023-02-27: NA.;,Available facts are as follows: 2023-03-20: NA. 2023-03-13: NA. 2023-03-06: NA. 2023-02-27: NA. 2023-02-20: NA. 2023-02-13: NA.;
May 2023,167127.6,264348.9,-97221.4,2023-05-01,2023-05-01,2023-05-31,-106340.7,,-95465.45,15379.926044198002,-87799.40000000001,17163.217366507946,-85268.65,14899.758471084911,-82314.7,14495.903037927646,-80670.55,13576.610005557352,-78257.32857142857,13941.631169954526,-106340.7,,Available facts are as follows: 2023-04-24: NA. 2023-04-17: NA.;,Available facts are as follows: 2023-04-24: NA. 2023-04-17: NA. 2023-04-10: NA. 2023-04-03: NA.;,Available facts are as follows: 2023-04-24: NA. 2023-04-17: NA. 2023-04-10: NA. 2023-04-03: NA. 2023-03-27: NA. 2023-03-20: NA.;
June 2023,167303.0,257886.6,-90583.6,2023-06-01,2023-06-01,2023-06-30,-103622.3,,-98941.85,6619.155868009159,-90633.13333333336,15133.107088213355,-85036.725,16671.92545456283,-81180.2,16817.51316782597,-78560.7,16353.399671627914,-76400.71428571429,15984.998238497305,-103622.3,,Available facts are as follows: 2023-05-22: NA. 2023-05-15: NA.;,Available facts are as follows: 2023-05-22: NA. 2023-05-15: NA. 2023-05-08: NA. 2023-05-01: NA.;,Available facts are as follows: 2023-05-22: NA. 2023-05-15: NA. 2023-05-08: NA. 2023-05-01: NA. 2023-04-24: NA. 2023-04-17: NA.;
July 2023,159618.9,255665.9,-96047.1,2023-07-01,2023-07-01,2023-07-31,-95010.6,,-94019.1,1402.1927470929238,-91554.13333333336,4383.06448199583,-89884.40000000001,4894.848358563662,-88516.72,5227.083149520394,-85356.06666666667,9044.130448123064,-82587.25714285715,11037.559643758392,-95010.6,,Available facts are as follows: 2023-06-19: NA. 2023-06-12: NA.;,Available facts are as follows: 2023-06-19: NA. 2023-06-12: NA. 2023-06-05: NA. 2023-05-29: NA.;,Available facts are as follows: 2023-06-19: NA. 2023-06-12: NA. 2023-06-05: NA. 2023-05-29: NA. 2023-05-22: NA. 2023-05-15: NA.;
