date,start_date,end_date,OT,his_avg_1,his_std_1,his_avg_3,his_std_3,his_avg_5,his_std_5,prior_history_avg,prior_history_std,his_avg_2,his_std_2,his_avg_4,his_std_4,his_avg_6,his_std_6,Final_Search_2,Final_Search_4,Final_Search_6
1950-01-01,1950-01-01,1950-01-31,7.6,5.0,,4.5,0.7071067811865476,4.5,0.7071067811865476,4.5,0.7071067811865476,4.5,0.7071067811865476,4.5,0.7071067811865476,4.5,0.7071067811865476,NA,NA,NA
1950-02-01,1950-02-01,1950-02-28,7.9,5.8,,5.25,0.7778174593052021,5.25,0.7778174593052021,5.25,0.7778174593052021,5.25,0.7778174593052021,5.25,0.7778174593052021,5.25,0.7778174593052021,NA,NA,NA
1950-03-01,1950-03-01,1950-03-31,7.1,5.6,,5.05,0.7778174593052021,5.05,0.7778174593052021,5.05,0.7778174593052021,5.05,0.7778174593052021,5.05,0.7778174593052021,5.05,0.7778174593052021,NA,NA,NA
1950-04-01,1950-04-01,1950-04-30,6.0,5.4,,4.7,0.9899494936611668,4.7,0.9899494936611668,4.7,0.9899494936611668,4.7,0.9899494936611668,4.7,0.9899494936611668,4.7,0.9899494936611668,NA,NA,NA
1950-05-01,1950-05-01,1950-05-31,5.3,5.7,,4.55,1.6263455967290594,4.55,1.6263455967290594,4.55,1.6263455967290594,4.55,1.6263455967290594,4.55,1.6263455967290594,4.55,1.6263455967290594,NA,NA,NA
1950-06-01,1950-06-01,1950-06-30,5.6,6.4,,5.15,1.767766952966369,5.15,1.767766952966369,5.15,1.767766952966369,5.15,1.767766952966369,5.15,1.767766952966369,5.15,1.767766952966369,NA,NA,NA
1950-07-01,1950-07-01,1950-07-31,5.3,7.0,,5.45,2.192031021678297,5.45,2.192031021678297,5.45,2.192031021678297,5.45,2.192031021678297,5.45,2.192031021678297,5.45,2.192031021678297,NA,NA,NA
1950-08-01,1950-08-01,1950-08-31,4.1,6.3,,4.95,1.909188309203678,4.95,1.909188309203678,4.95,1.909188309203678,4.95,1.909188309203678,4.95,1.909188309203678,4.95,1.909188309203678,NA,NA,NA
1950-09-01,1950-09-01,1950-09-30,4.0,5.9,,4.65,1.767766952966369,4.65,1.767766952966369,4.65,1.767766952966369,4.65,1.767766952966369,4.65,1.767766952966369,4.65,1.767766952966369,NA,NA,NA
1950-10-01,1950-10-01,1950-10-31,3.3,6.1,,4.5,2.262741699796952,4.5,2.262741699796952,4.5,2.262741699796952,4.5,2.262741699796952,4.5,2.262741699796952,4.5,2.262741699796952,NA,NA,NA
1950-11-01,1950-11-01,1950-11-30,3.8,5.7,,4.5,1.6970562748477145,4.5,1.6970562748477145,4.5,1.6970562748477145,4.5,1.6970562748477145,4.5,1.6970562748477145,4.5,1.6970562748477145,NA,NA,NA
1950-12-01,1950-12-01,1950-12-31,3.9,6.0,,4.8,1.697056274847714,4.8,1.697056274847714,4.8,1.697056274847714,4.8,1.697056274847714,4.8,1.697056274847714,4.8,1.697056274847714,NA,NA,NA
1951-01-01,1951-01-01,1951-01-31,4.4,7.6,,5.533333333333334,1.8583146486355135,5.533333333333334,1.8583146486355135,6.3,1.8384776310850235,6.3,1.8384776310850235,5.533333333333334,1.8583146486355135,5.533333333333334,1.8583146486355135,NA,NA,NA
1951-02-01,1951-02-01,1951-02-28,4.2,7.9,,6.133333333333333,1.6258331197676266,6.133333333333333,1.6258331197676266,6.85,1.4849242404917502,6.85,1.4849242404917502,6.133333333333333,1.6258331197676266,6.133333333333333,1.6258331197676266,NA,NA,NA
1951-03-01,1951-03-01,1951-03-31,3.8,7.1,,5.733333333333333,1.305118130030126,5.733333333333333,1.305118130030126,6.35,1.0606601717798212,6.35,1.0606601717798212,5.733333333333333,1.305118130030126,5.733333333333333,1.305118130030126,NA,NA,NA
1951-04-01,1951-04-01,1951-04-30,3.2,6.0,,5.133333333333334,1.026320287889377,5.133333333333334,1.026320287889377,5.7,0.4242640687119283,5.7,0.4242640687119283,5.133333333333334,1.026320287889377,5.133333333333334,1.026320287889377,NA,NA,NA
1951-05-01,1951-05-01,1951-05-31,2.9,5.3,,4.8,1.2288205727444508,4.8,1.2288205727444508,5.5,0.2828427124746193,5.5,0.2828427124746193,4.8,1.2288205727444508,4.8,1.2288205727444508,NA,NA,NA
1951-06-01,1951-06-01,1951-06-30,3.4,5.6,,5.3,1.276714533480371,5.3,1.276714533480371,6.0,0.5656854249492386,6.0,0.5656854249492386,5.3,1.276714533480371,5.3,1.276714533480371,NA,NA,NA
1951-07-01,1951-07-01,1951-07-31,3.3,5.3,,5.4,1.5524174696260025,5.4,1.5524174696260025,6.15,1.2020815280171309,6.15,1.2020815280171309,5.4,1.5524174696260025,5.4,1.5524174696260025,NA,NA,NA
1951-08-01,1951-08-01,1951-08-31,2.9,4.1,,4.666666666666666,1.436430761761016,4.666666666666666,1.436430761761016,5.199999999999999,1.5556349186104046,5.199999999999999,1.5556349186104046,4.666666666666666,1.436430761761016,4.666666666666666,1.436430761761016,NA,NA,NA
1951-09-01,1951-09-01,1951-09-30,3.0,4.0,,4.433333333333334,1.3051181300301264,4.433333333333334,1.3051181300301264,4.95,1.3435028842544403,4.95,1.3435028842544403,4.433333333333334,1.3051181300301264,4.433333333333334,1.3051181300301264,NA,NA,NA
1951-10-01,1951-10-01,1951-10-31,2.8,3.3,,4.1,1.743559577416269,4.1,1.743559577416269,4.699999999999999,1.979898987322333,4.699999999999999,1.979898987322333,4.1,1.743559577416269,4.1,1.743559577416269,NA,NA,NA
1951-11-01,1951-11-01,1951-11-30,3.2,3.8,,4.266666666666667,1.266227994214839,4.266666666666667,1.266227994214839,4.75,1.3435028842544403,4.75,1.3435028842544403,4.266666666666667,1.266227994214839,4.266666666666667,1.266227994214839,NA,NA,NA
1951-12-01,1951-12-01,1951-12-31,2.9,3.9,,4.5,1.307669683062202,4.5,1.307669683062202,4.95,1.4849242404917498,4.95,1.4849242404917498,4.5,1.307669683062202,4.5,1.307669683062202,NA,NA,NA
1952-01-01,1952-01-01,1952-01-31,3.7,4.4,,5.666666666666667,1.700980109623076,5.25,1.6196707484341788,6.0,2.262741699796952,6.0,2.262741699796952,5.25,1.6196707484341788,5.25,1.6196707484341788,NA,NA,NA
1952-02-01,1952-02-01,1952-02-29,3.8,4.2,,5.966666666666668,1.8556220879622376,5.65,1.6421530582338135,6.050000000000001,2.616295090390226,6.050000000000001,2.616295090390226,5.65,1.6421530582338135,5.65,1.6421530582338135,NA,NA,NA
1952-03-01,1952-03-01,1952-03-31,3.3,3.8,,5.5,1.6522711641858303,5.25,1.4387494569938155,5.449999999999999,2.3334523779156067,5.449999999999999,2.3334523779156067,5.25,1.4387494569938155,5.25,1.4387494569938155,NA,NA,NA
1952-04-01,1952-04-01,1952-04-30,3.0,3.2,,4.866666666666666,1.474222959166399,4.65,1.2793227374930325,4.6,1.979898987322333,4.6,1.979898987322333,4.65,1.2793227374930325,4.65,1.2793227374930325,NA,NA,NA
1952-05-01,1952-05-01,1952-05-31,2.9,2.9,,4.633333333333333,1.514375558880073,4.324999999999999,1.3817259737975065,4.1,1.697056274847714,4.1,1.697056274847714,4.324999999999999,1.3817259737975065,4.324999999999999,1.3817259737975065,NA,NA,NA
1952-06-01,1952-06-01,1952-06-30,3.2,3.4,,5.133333333333334,1.553490693030806,4.825,1.4103781998693354,4.5,1.5556349186104044,4.5,1.5556349186104044,4.825,1.4103781998693354,4.825,1.4103781998693354,NA,NA,NA
1952-07-01,1952-07-01,1952-07-31,3.3,3.3,,5.2,1.8520259177452132,4.875,1.6459546368799678,4.3,1.4142135623730951,4.3,1.4142135623730951,4.875,1.6459546368799678,4.875,1.6459546368799678,NA,NA,NA
1952-08-01,1952-08-01,1952-08-31,3.1,2.9,,4.433333333333334,1.7243356208503418,4.2250000000000005,1.468275632615802,3.5,0.8485281374238569,3.5,0.8485281374238569,4.2250000000000005,1.468275632615802,4.2250000000000005,1.468275632615802,NA,NA,NA
1952-09-01,1952-09-01,1952-09-30,2.7,3.0,,4.3,1.4730919862656238,4.075,1.2841988423397162,3.5,0.7071067811865476,3.5,0.7071067811865476,4.075,1.2841988423397162,4.075,1.2841988423397162,NA,NA,NA
1952-10-01,1952-10-01,1952-10-31,2.4,2.8,,4.066666666666666,1.77857620959388,3.775,1.5649813630413194,3.05,0.3535533905932738,3.05,0.3535533905932738,3.775,1.5649813630413194,3.775,1.5649813630413194,NA,NA,NA
1952-11-01,1952-11-01,1952-11-30,2.5,3.2,,4.233333333333333,1.3051181300301262,4.0,1.1633285577743433,3.5,0.4242640687119283,3.5,0.4242640687119283,4.0,1.1633285577743433,4.0,1.1633285577743433,NA,NA,NA
1952-12-01,1952-12-01,1952-12-31,2.5,2.9,,4.266666666666667,1.5821925715074423,4.1000000000000005,1.3341664064126333,3.4,0.7071067811865476,3.4,0.7071067811865476,4.1000000000000005,1.3341664064126333,4.1000000000000005,1.3341664064126333,NA,NA,NA
1953-01-01,1953-01-01,1953-01-31,3.4,3.7,,5.233333333333333,2.079262689833425,4.94,1.5646085772486356,4.050000000000001,0.4949747468305834,4.050000000000001,0.4949747468305834,5.175000000000001,1.7017148213885112,4.94,1.5646085772486356,NA,NA,NA
1953-02-01,1953-02-01,1953-02-28,3.2,3.8,,5.3,2.2605309110914638,5.279999999999999,1.6452963258939104,4.0,0.2828427124746193,4.0,0.2828427124746193,5.425,1.862569909202516,5.279999999999999,1.6452963258939104,NA,NA,NA
